-81	-80	-79	-78	-77	-76	-75	-74	-73	-72	-71	-70	-69	-68	-67	-66	-65	-64	-63	-62	-61	-60	-59	-58	-57	-56	-55	-54	-53	-52	-51	-50	-49	-48	-47	-46	-45	-44	-43	-42	-41	-40	-39	-38	-37	-36	-35	-34	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1
0.4	0.35	0.35	0.4	0.35	0.35	0.35	0.35	0.3	0.25	0.3	0.3	0.3	0.3	0.25	0.3	0.3	0.3	0.3	0.35	0.3	0.3	0.3	0.25	0.3	0.3	0.25	0.25	0.25	0.25	0.2	0.2	0.2	0.25	0.3	0.25	0.25	0.25	0.3	0.25	0.25	0.3	0.25	0.25	0.2	0.25	0.25	0.3	0.3	0.35	0.4	0.45	0.45	0.4	0.4	0.4	0.45	0.45	0.45	0.5	0.5	0.45	0.5	0.5	0.5	0.45	0.5	0.5	0.55	0.5	0.45	0.4	0.45	0.45	0.4	0.4	0.35	0.35	0.35	0.35	0.35
0.45	0.45	0.45	0.45	0.45	0.45	0.4	0.35	0.3	0.3	0.35	0.4	0.45	0.45	0.45	0.4	0.4	0.35	0.4	0.4	0.4	0.35	0.4	0.4	0.45	0.45	0.45	0.45	0.45	0.4	0.35	0.3	0.3	0.35	0.4	0.45	0.45	0.45	0.45	0.5	0.5	0.5	0.45	0.5	0.45	0.4	0.45	0.45	0.45	0.45	0.45	0.45	0.4	0.35	0.3	0.25	0.2	0.2	0.15	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.15	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.25	0.3	0.35
0.2	0.25	0.25	0.25	0.25	0.2	0.15	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.15	0.15	0.15	0.15	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0.05	0.05	0.05	0.05	0.1	0.1	0.1	0.1	0.1	0.15	0.15	0.15	0.15	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.2	0.25	0.25	0.3	0.25	0.25	0.25	0.25	0.3	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.3	0.35	0.3	0.35	0.4	0.4	0.4	0.35	0.35	0.35	0.35	0.35	0.3	0.3
0.45	0.45	0.45	0.45	0.45	0.45	0.4	0.35	0.35	0.35	0.35	0.3	0.3	0.3	0.3	0.35	0.35	0.35	0.3	0.35	0.3	0.3	0.35	0.4	0.4	0.4	0.45	0.45	0.4	0.4	0.4	0.4	0.45	0.45	0.4	0.35	0.35	0.3	0.3	0.25	0.25	0.25	0.2	0.15	0.15	0.15	0.1	0.1	0.1	0.1	0.1	0.1	0.05	0	0.05	0.05	0.05	0.1	0.15	0.2	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.2	0.2	0.2	0.15	0.1	0.05	0
0.25	0.2	0.2	0.2	0.2	0.2	0.2	0.15	0.15	0.15	0.2	0.25	0.25	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.3	0.3	0.3	0.35	0.35	0.35	0.35	0.35	0.35	0.3	0.25	0.2	0.25	0.25	0.25	0.25	0.25	0.25	0.2	0.2	0.15	0.15	0.2	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.1	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.1	0.1	0.1	0.1
0.4	0.35	0.35	0.4	0.45	0.45	0.4	0.4	0.4	0.45	0.45	0.4	0.4	0.4	0.35	0.35	0.3	0.3	0.35	0.35	0.35	0.35	0.35	0.35	0.3	0.35	0.35	0.35	0.4	0.4	0.35	0.35	0.3	0.3	0.3	0.25	0.25	0.25	0.2	0.25	0.3	0.35	0.35	0.35	0.4	0.35	0.4	0.45	0.45	0.4	0.4	0.4	0.45	0.45	0.45	0.5	0.5	0.5	0.5	0.45	0.4	0.35	0.35	0.3	0.25	0.25	0.2	0.15	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.1
0.35	0.35	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.35	0.4	0.4	0.4	0.4	0.35	0.4	0.4	0.35	0.35	0.3	0.35	0.3	0.35	0.35	0.4	0.4	0.4	0.4	0.4	0.35	0.3	0.25	0.25	0.25	0.3	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.2	0.25	0.2	0.2	0.2	0.15	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.2	0.25	0.25	0.2	0.2	0.25	0.25	0.3	0.25	0.25	0.25	0.3	0.35	0.3	0.25	0.3	0.3	0.35	0.35
0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.2	0.2	0.2	0.25	0.2	0.2	0.2	0.15	0.15	0.15	0.2	0.15	0.15	0.15	0.15	0.15	0.2	0.15	0.15	0.2	0.2	0.25	0.25	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.15	0.2	0.2	0.25	0.3	0.35	0.3	0.3	0.3	0.3	0.3	0.25	0.25	0.25	0.25	0.3	0.3	0.3	0.35	0.35	0.4	0.35	0.35	0.3	0.3	0.25	0.25	0.25	0.25	0.2	0.25	0.25	0.3	0.3	0.35	0.3	0.35	0.35	0.35	0.4	0.4	0.4	0.4	0.4
0.3	0.35	0.3	0.3	0.3	0.35	0.35	0.35	0.35	0.4	0.45	0.5	0.55	0.6	0.6	0.55	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.45	0.5	0.45	0.45	0.4	0.4	0.35	0.4	0.45	0.45	0.45	0.4	0.4	0.4	0.35	0.35	0.35	0.35	0.3	0.35	0.35	0.3	0.3	0.25	0.25	0.2	0.2	0.15	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.15	0.15	0.2	0.2	0.2	0.2	0.25	0.25	0.25	0.3	0.3	0.3	0.3	0.3	0.35	0.35	0.4	0.4	0.4
